ブックオフ店舗情報(東京都),name,address,千代田区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,板橋区,練馬区,足立区,江戸川区,八王子市,立川市,武蔵野市,青梅市,府中市,昭島市,調布市,町田市,小平市,国立市,福生市,東大和市,東久留米市,多摩市,西東京市
千代田区,BOOKOFF 秋葉原駅前店,東京都千代田区神田佐久間町1-6-4 ,03-5207-6206,10:00～21:00
港区,BOOKOFF総合買取窓口 田町駅西口店,東京都港区芝5丁目32-3 1F,03-5439-4131,11:00～20:00
新宿区,BOOKOFF 飯田橋駅東口店,東京都新宿区揚場町1-11 ,03-5206-6831,10:00～21:00
新宿区,BOOKOFF 新宿靖国通り店,東京都新宿区新宿5-2-1 ,03-5368-0654,10:00～21:00
新宿区,BOOKOFF 新宿駅西口店,東京都新宿区西新宿1-10-2 110ビル4F～6F,03-5909-4721,10:00～21:00
文京区,BOOKOFF 千駄木店,東京都文京区千駄木3-43-3 ,03-5834-1567,10:00～22:00
台東区,BOOKOFF PLUS 上野広小路店,東京都台東区上野4-4-4 ,03-5817-3817,10:00～21:00
台東区,BOOKOFF 浅草稲荷町店,東京都台東区松が谷1-3-5 ,03-5830-1383,10:00～21:00
墨田区,BOOKOFF ロッテシティ錦糸町店,東京都墨田区錦糸4-6-1 ロッテシティ3F,03-5619-8020,10:00～21:00
墨田区,BOOKOFF 曳舟店,東京都墨田区東向島2-48-13 第3丸重ハイツ1･2F,03-5630-6471,11:00～21:0010:00～21:00
江東区,BOOKOFF 亀戸駅東口店,東京都江東区亀戸6-57-19 ,03-5858-2902,10:00～21:00
江東区,BOOKOFF 江東門前仲町店,東京都江東区越中島1-2-7 アスミビル,03-5602-9945,10:00～21:00
品川区,BOOKOFF 武蔵小山パルム店,東京都品川区荏原3-3-17 ,03-5751-5700,10:00～21:00
品川区,BOOKOFF 中延駅前店,東京都品川区中延4-4-6 ,03-5788-3361,10:00～21:00
品川区,BOOKOFF PLUS 西五反田店,東京都品川区西五反田2-29-5 ,03-5437-6192,10:00～22:00
品川区,BOOKOFF SUPER BAZAAR 西友大森店,東京都品川区南大井6-27-25 西友大森3F,03-5753-4472,10:00～22:00
目黒区,BOOKOFF 自由が丘駅前店,東京都目黒区自由が丘2-11-23 ,03-5731-6931,10:00～21:00
目黒区,BOOKOFF 学芸大学駅前店,東京都目黒区鷹番2-15-12 ,03-5725-0656,10:00～21:00
目黒区,BOOKOFF総合買取窓口 中目黒店,東京都目黒区東山1-5-9 セブンスターマンション1F,03-5725-2902,11:00～20:00
目黒区,BINGO 自由が丘店,東京都目黒区緑ケ丘2-6-19 ,03-5731-6491,12:00～21:0011:00～21:00
大田区,BOOKOFF ＪＲ蒲田駅東口店,東京都大田区蒲田5-26-8 ,03-5713-7651,10:00～23:00
大田区,BOOKOFF 中原街道長原店,東京都大田区上池台1-14-19 ,03-5754-2551,10:00～21:00
大田区,BINGO 大森駅西口店,東京都大田区山王2-4-1 大森駅前ビル4F,03-5743-7553,10:00～20:00
大田区,BOOKOFF 糀谷駅前店,東京都大田区西糀谷4-27-7 ,03-5736-9861,10:00～23:00
大田区,BOOKOFF 雪が谷大塚店,東京都大田区南雪谷2-17-9 ,03-5754-2481,11:00～21:0010:00～21:00
世田谷区,BOOKOFF PLUS 大蔵多摩堤通り店,東京都世田谷区大蔵6-20-29 ,03-5494-8253,10:00～21:00
世田谷区,BOOKOFF 北烏山店,東京都世田谷区北烏山5-21-11 ,03-3305-2239,10:00～22:00
世田谷区,BOOKOFF総合買取窓口 下北沢駅北口店,東京都世田谷区北沢2-26-25 ,03-5738-2120,11:00～20:00
世田谷区,BOOKOFF サミットストア砧店,東京都世田谷区砧1-1-2 ,03-5727-0757,10:00～22:00
世田谷区,BOOKOFF総合買取窓口 経堂農大通り店,東京都世田谷区経堂1-21-18 ,03-5451-3012,10:00～19:00
世田谷区,BOOKOFF 246駒沢店,東京都世田谷区駒沢2-11 ,03-5432-4754,10:00～21:00
世田谷区,BOOKOFF 246三軒茶屋店,東京都世田谷区太子堂1-12-27 ,03-5433-2591,10:00～21:00
世田谷区,BOOKOFF 上野毛店,東京都世田谷区中町3-16-3 ,03-5758-7886,10:00～21:00
世田谷区,BOOKOFF総合買取窓口 用賀駅北口店,東京都世田谷区用賀4丁目9−2 ,03-5717-9776,11:00～20:00
渋谷区,BOOKOFF総合買取窓口 恵比寿南店,東京都渋谷区恵比寿南3-2-2 アサンブレ恵比寿1F,03-5725-0520,11:00～20:00
渋谷区,BINGO 渋谷モディ店,東京都渋谷区神南1-21-3 渋谷モディ3F,03-5428-4812,11:00～20:00
渋谷区,BOOKOFF総合買取窓口 代々木上原駅前店,東京都渋谷区西原3-3-3 西原ビル1F,03-5738-5063,11:00～20:00
渋谷区,BOOKOFF 幡ヶ谷6号通店,東京都渋谷区幡ケ谷2-9-19 ,03-5333-7688,10:00～21:00
渋谷区,BOOKOFF総合買取窓口 広尾店,東京都渋谷区広尾5-16-3 小安ビル,03-5791-7030,11:00～20:00
渋谷区,BOOKOFF 代々木駅北口店,東京都渋谷区代々木1-58-1 ,03-5358-4166,10:00～21:00
中野区,BOOKOFF 中野早稲田通店,東京都中野区中野5-24-20 ,03-3388-0008,10:00～21:00
中野区,BOOKOFF 東中野店,東京都中野区東中野3-9-21 ,03-3362-9989,10:00～21:00
杉並区,BOOKOFF 阿佐ヶ谷南店,東京都杉並区阿佐谷南1-33-7 ,03-5305-4515,10:00～21:00
杉並区,BOOKOFF PLUS 荻窪駅北口店,東京都杉並区天沼3-3-3 ,03-5347-5098,10:00～22:00
杉並区,BOOKOFF 新高円寺駅前店,東京都杉並区高円寺南2-17-2 ,03-5305-8212,11:00～21:0010:00～21:00
杉並区,BOOKOFF 浜田山駅前店,東京都杉並区浜田山3-34-5 ,03-5357-0760,10:00～23:00
杉並区,BOOKOFF 杉並方南町駅前店,東京都杉並区堀ノ内1-4-2 ,03-5305-5543,10:00～23:00
豊島区,BOOKOFF PLUS 池袋要町店,東京都豊島区要町1-10-3 ,03-5917-5810,10:00～21:0010:00～20:00
豊島区,BOOKOFF 高田馬場北店,東京都豊島区高田3-14-29 ,03-5950-2225,10:00～21:00
豊島区,BOOKOFF 池袋サンシャイン60通り店,東京都豊島区東池袋1-22-10 ヒューマックスパビリオン,03-5953-2325,10:00～21:00
豊島区,BOOKOFF 大塚駅前店,東京都豊島区南大塚1-51-11 ,03-5976-5211,10:00～21:00
北区,BOOKOFF 赤羽駅東口店,東京都北区赤羽2-49-6 ,03-3903-2662,10:00～22:00
北区,BOOKOFF 十条駅前店,東京都北区上十条2-7-11 ,03-5963-3571,10:00～22:00
板橋区,BOOKOFF 下赤塚駅南口店,東京都板橋区赤塚新町1-22-2 セカンドプロスパービル1F,03-5968-3763,10:00～21:00
板橋区,BOOKOFF 西台高島通り店,東京都板橋区高島平1-75-10 ,03-5921-3220,10:00～21:00
板橋区,BOOKOFF 中板橋駅北口店,東京都板橋区中板橋24-1 ,03-5943-9505,11:00～23:00
板橋区,BOOKOFF 板橋前野店,東京都板橋区前野町4-19-1 ,03-5914-6411,10:00～21:00
練馬区,BOOKOFF 上石神井駅南口店,東京都練馬区上石神井1-16-9 ,03-5927-0715,11:00～21:0010:00～21:00
練馬区,BOOKOFF 江古田店,東京都練馬区栄町2-12 ,03-5999-6456,9:00～21:00
練馬区,BOOKOFF 練馬高野台駅北口店,東京都練馬区高野台1-5-3 ,03-5923-1070,10:00～21:00
練馬区,BOOKOFF 練馬光が丘店,東京都練馬区高松4-22-6 ,03-5971-3315,10:00～21:00
練馬区,BOOKOFF 練馬区役所前店,東京都練馬区豊玉北6-3-1 ,03-5946-5797,10:00～21:00
練馬区,BOOKOFF 大泉学園駅前店,東京都練馬区東大泉1-26-15 ,03-5947-7260,10:00～21:00
足立区,BOOKOFF 綾瀬駅前店,東京都足立区綾瀬3-2-8 シティプレイスアヤセ2F,03-5673-5858,10:00～21:00
足立区,BOOKOFF 足立加平インター店,東京都足立区加平2-3 ,03-5849-8621,10:00～21:00
足立区,BOOKOFF パサージオ西新井店,東京都足立区西新井栄町1-17-1 ,03-3848-7655,10:00～21:00
江戸川区,BOOKOFF 中葛西店,東京都江戸川区中葛西4-4-8 ,03-5878-3751,10:00～20:30
江戸川区,BOOKOFF 葛西駅前店,東京都江戸川区中葛西5-34-11 ,03-5667-8263,10:00～21:00
江戸川区,BOOKOFF 江戸川東小岩店,東京都江戸川区東小岩4-1-7 ,03-5622-0411,10:00～22:00
江戸川区,BOOKOFF 瑞江駅北口店,東京都江戸川区瑞江2-5-3 ,03-5636-5731,10:00～21:00
八王子市,BOOKOFF 八王子駅北口店,東京都八王子市旭町12-4 ,042-631-0756,10:00～22:00
八王子市,BOOKOFF 八王子大和田店,東京都八王子市大和田町5-1-21 ,042-646-2902,10:30～20:00
八王子市,BOOKOFF 八王子めじろ台店,東京都八王子市椚田町538-5 ,042-669-2880,10:00～21:00
八王子市,BOOKOFF 20号西八王子店,東京都八王子市千人町3-18-24 ,042-669-4847,10:00～20:00
八王子市,BOOKOFF 八王子堀之内店,東京都八王子市堀之内3-3-1 ,042-679-0221,10:00～21:00
八王子市,BOOKOFF SUPER BAZAAR 八王子みなみ野店,東京都八王子市みなみ野1-8-1 Mioみなみ野ショッピングセンター2F（スーパー三和 上）,042-632-8510,10:00～20:00
立川市,BOOKOFF SUPER BAZAAR 立川駅北口店,東京都立川市曙町2-7-17 ,042-540-5800,10:00～21:00
立川市,BOOKOFF 立川栄店,東京都立川市高松町1-24-36 ,042-529-9101,10:00～21:00
武蔵野市,BOOKOFF 吉祥寺駅北口店,東京都武蔵野市吉祥寺本町1-13-2 白樺ビル1階-4階,0422-23-8260,10:00～22:3010:00～23:00
武蔵野市,BOOKOFF 武蔵境連雀通り店,東京都武蔵野市境南町5-5-16 ,0422-30-7588,10:00～23:00
青梅市,BOOKOFF 青梅店,東京都青梅市新町4-19-5 ,0428-32-1255,10:00～21:00
府中市,BOOKOFF PLUS MINANO分倍河原店,東京都府中市片町3-22-26 MINANO2F,042-352-8550,10:00～21:00
昭島市,BOOKOFF PLUS ザ･ビッグ昭島店,東京都昭島市宮沢町500-1 イオン昭島ショッピングセンター2F,042-549-1637,10:00～21:00
調布市,BOOKOFF 京王国領駅前店,東京都調布市国領町1-44-1 ,042-443-0707,10:00～22:00
調布市,BOOKOFF 調布駅南口店,東京都調布市布田4-20-2 ,042-490-7113,10:00～22:00
町田市,BOOKOFF PLUS 町田旭町店,東京都町田市旭町1-16-12 ,042-732-0712,10:00～21:00
町田市,BOOKOFF SUPER BAZAAR 町田中央通り店（本・ソフト館）,東京都町田市原町田4-4-8 ,042-739-4580,10:00～21:00
町田市,BOOKOFF SUPER BAZAAR 町田中央通り店（アパレル館）,東京都町田市原町田4-7-9 ,042-710-5515,10:00～20:00
小平市,BOOKOFF 花小金井店,東京都小平市花小金井6-26-13 ,042-460-8188,10:00～22:00
国立市,BOOKOFF 国立駅南口店,東京都国立市中1-10-7 ,042-580-4822,10:00～22:00
福生市,BOOKOFF 福生店,東京都福生市武蔵野台2-31-3 ,042-553-7134,10:00～21:00
東大和市,BOOKOFF 東大和仲原店,東京都東大和市仲原4-2-3 ,042-563-1902,10:00～22:00
東久留米市,BOOKOFF 東久留米前沢店,東京都東久留米市中央町4-14-35 ,042-473-7660,10:00～21:00
多摩市,BOOKOFF PLUS 聖蹟桜ヶ丘オーパ店,東京都多摩市関戸4-72 聖蹟桜ヶ丘オーパ6F,042-357-1855,10:00～21:00
多摩市,BOOKOFF SUPER BAZAAR 多摩永山店,東京都多摩市永山6-29 ,042-357-2701,10:00～20:00
西東京市,BOOKOFF 田無駅北口店,東京都西東京市田無町4-26-10 ,042-450-2301,10:00～22:00
